S.N.,Winter_Trend,PreMonsoon_Alpha,PreMonsoon_Trend,Monsoon_Alpha,Monsoon_Trend,PostMonsoon_Alpha,PostMonsoon_Trend,Annual_Alpha,Glaciers Number,Glaciers Area (sq. km),Glacial Lakes Number,Glacier_Lake_Ratio,Total_Trend_Magnitude,High_Monsoon_Trend,Cluster
0.323344893792053,0.674134939396946,0,-0.3795405003037101,+,-0.1940780711500955,0,0.9753486550129598,*,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,0.9098363601613616,0,1.0
0.369537021476632,-0.1263111173645816,0,-0.4978912247023967,0,1.3387524659184449,0,-0.5558109289948264,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.2868373148285404,1,1.0
0.4157291491612109,0.5167851796837409,0,1.7626076113125173,0,0.8861450238706476,0,0.5925587590110133,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.622797200065813,1,1.0
0.46192127684579,-0.5925851512600379,0,-0.2138494861455488,0,-0.504868514689583,+,-2.048691523402418,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,1.5475103653341618,0,1.0
0.508113404530369,-0.5417766854795052,0,0.0346870350916929,0,-0.5863378542581866,0,-0.0581840641922958,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.565246133116846,0,3.0
0.5543055322149479,0.1094127791209619,0,1.1235136995596096,0,0.3218944127843935,0,-0.2113000225930746,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,0.8989330189032727,1,1.0
0.600497659899527,1.1948214659526513,0,-0.4978912247023967,0,-0.0401915408538444,0,-0.9386008249967728,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.336091844045595,1,3.0
0.646689787584106,0.1901635197787035,0,1.0525032649203976,*,2.699592175008822,0,-0.2495790121932693,*,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,5.422813461446243,1,1.0
0.6928819152686849,-0.85088189452546,0,0.484419787806702,0,-0.3721036650222292,0,0.0949318942084827,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.3344044815910976,0,3.0
0.739074042953264,0.5112740015379604,0,0.1412026870505109,0,-0.4777120681667152,0,-0.8620428457963839,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.684619783191564,0,3.0
0.785266170637843,-0.9912775684964988,*,-1.5157074545311011,***,-1.9230384997726813,+,-1.053437793797357,***,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,5.039466505951841,0,3.0
0.8314582983224219,-2.780185456064782,**,-1.6577283238095253,0,0.0684342452376269,**,-2.240086471403392,+,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,3.2624861038718667,1,1.0
0.8776504260070009,-0.5342458830442771,0,0.1412026870505109,0,-0.5621987906823042,0,0.2480478526092612,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.300924359008774,0,3.0
0.92384255369158,0.2362774593658473,0,-0.6754173113004266,0,-1.0932581893517197,0,0.2097688630090665,*,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,2.4129225423660574,0,3.0
0.9700346813761588,-0.5210914294398851,0,-0.935788904977537,0,-0.6647898108798047,0,0.3246058318096506,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.909950187018429,0,3.0
1.016226809060738,0.946921142153005,0,0.9459876129615796,0,-0.7251374698195111,0,0.1332108838086774,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.2617064562152334,0,1.0
1.062418936745317,0.4916205632345954,0,-0.1073338341867309,0,-0.0643306044297269,0,0.8987906758125705,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,0.5665542628657142,0,0.0
1.108611064429896,0.1013342819631717,0,-1.4565320923317575,0,-0.8820413830627475,0,-1.742459606600861,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.934926477419465,0,3.0
1.154803192114475,-0.8741100189198325,*,1.596916597154356,0,-0.1880433052561248,0,0.7456747174117918,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.258351925060753,0,3.0
1.200995319799054,0.0473374504762957,0,1.1235136995596096,0,0.4305201988758648,0,0.6691167382114025,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.0540543667953264,1,3.0
1.2471874474836329,-0.9675115296424672,0,-0.5452315144618713,*,-1.9682992439774611,0,-2.0104125338022234,*,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,4.781778921586237,0,3.0
1.293379575168212,-0.2008856219991459,0,-0.2256845585854175,0,-0.0733827532706828,0,1.511254509415685,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.4833920821600114,0,3.0
1.339571702852791,-0.9027172879107964,0,0.7329563090439438,0,-0.4415034728028914,0,0.056652904608288,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.504755085577566,0,3.0
1.3857638305373698,-1.6669470311429089,0,-0.2848599207847608,0,-0.8247111070700264,*,-1.8572965754014448,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,3.3604882721720064,0,3.0
1.431955958221949,-0.3910628341459136,**,2.4845470301445056,0,-0.1488173269453158,0,0.9753486550129598,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,0.9842407972794504,0,3.0
1.478148085906528,1.0800500807871938,0,-0.0599935444272563,0,0.3068074980494669,0,0.1714898734088721,0,0.9917809770893592,-0.4432793561266386,1.006460933716126,-0.4736321859217141,1.7174772821774784,1,0.0
1.5243402135911068,-0.4380569973943176,0,0.7092861641642064,*,2.817270109941249,0,-0.287858001793464,*,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,5.837500276814754,1,1.0
1.570532341275686,0.231426448966012,0,0.0110168902119556,0,1.5288475915785198,0,1.0519066342133492,0,0.6526244875486668,1.3005034051068292,-1.3135184868441705,0.3136469549782064,2.9904811218602663,1,1.0
1.616724468960265,1.2992453329668472,0,-0.4978912247023967,0,-0.0401915408538444,0,-0.9386008249967728,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,1.4327606474565586,1,3.0
1.6629165966448438,1.127875566382344,0,-0.0718286168671249,0,0.8559711944007945,0,0.2097688630090665,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,3.0150072096159173,1,3.0
1.709108724329423,-0.9677071349005252,0,0.8394719610027618,0,-1.0600669769348812,0,-0.8620428457963839,0,-0.7581525067592553,-0.2259855541037766,0.4764975836520327,-0.432282470039156,2.635517104485665,0,3.0
