country_name,country_iso3,year,indicator_name,indicator_code,value
Nepal,NPL,1969,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.181818
Nepal,NPL,1969,Rural population (% of total population),SP.RUR.TOTL.ZS,96.089000
Nepal,NPL,1969,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.120766
Nepal,NPL,1969,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.888112
Nepal,NPL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,37020.000000
Nepal,NPL,1970,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,66.868158
Nepal,NPL,1970,Arable land (% of land area),AG.LND.ARBL.ZS,13.657343
Nepal,NPL,1970,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.157042
Nepal,NPL,1970,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1970,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1782.500000
Nepal,NPL,1970,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,23.150000
Nepal,NPL,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,2.743984
Nepal,NPL,1970,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,24.620000
Nepal,NPL,1970,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1970,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,31.290000
Nepal,NPL,1970,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.188811
Nepal,NPL,1970,Rural population (% of total population),SP.RUR.TOTL.ZS,96.044000
Nepal,NPL,1970,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.141201
Nepal,NPL,1970,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.888112
Nepal,NPL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,37020.000000
Nepal,NPL,1971,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,66.838217
Nepal,NPL,1971,Arable land (% of land area),AG.LND.ARBL.ZS,13.657343
Nepal,NPL,1971,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.153658
Nepal,NPL,1971,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1500.000000
Nepal,NPL,1971,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1716.900000
Nepal,NPL,1971,Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,23.100000
Nepal,NPL,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.079877
Nepal,NPL,1971,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,24.810000
Nepal,NPL,1971,Land area (sq. km),AG.LND.TOTL.K2,143000.000000
Nepal,NPL,1971,Livestock production index (2014-2016 = 100),AG.PRD.LVSK.XD,32.370000
Nepal,NPL,1971,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.188811
Nepal,NPL,1971,Rural population (% of total population),SP.RUR.TOTL.ZS,95.995000
Nepal,NPL,1971,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.127282
Nepal,NPL,1971,Surface area (sq. km),AG.SRF.TOTL.K2,147180.000000
Nepal,NPL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.727273
